band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility
30-40,200,50,36,60,33,True,28,True,21.25,2.8000000000000007,0.7333333333333333,2.0666666666666673,0.7589285714285714,0.09725490196078435
30-40,200,64,35,60,33,True,30,True,24.62857142857143,3.2619047619047628,1.55,1.7119047619047627,0.820952380952381,0.06950889404485695
30-40,200,92,24,30,30,True,28,True,24.958333333333332,4.691666666666666,2.1666666666666665,2.525,0.8913690476190476,0.1011686143572621
30-40,300,15,78,39,36,True,35,True,23.17948717948718,4.564102564102562,1.2564102564102564,3.3076923076923057,0.6622710622710622,0.1426991150442477
30-40,300,19,60,30,31,True,29,True,21.166666666666668,2.700000000000003,1.4333333333333333,1.2666666666666695,0.7298850574712644,0.0598425196850395
30-40,300,3,60,36,32,True,29,True,24.016666666666666,3.405555555555555,1.3333333333333333,2.072222222222222,0.8281609195402299,0.0862826740689336
30-40,300,32,41,30,33,True,30,True,21.463414634146343,2.1300813008130106,1.1,1.0300813008130105,0.7154471544715447,0.04799242424242435
30-40,300,44,30,42,34,True,32,True,23.033333333333335,7.8190476190476215,1.5,6.3190476190476215,0.7197916666666667,0.27434360140583014
30-40,300,50,36,30,33,True,28,True,18.38888888888889,4.488888888888889,0.8,3.688888888888889,0.6567460317460317,0.20060422960725077
30-40,300,64,54,60,33,True,30,True,24.24074074074074,4.874074074074073,1.7,3.174074074074073,0.8080246913580247,0.13093964858670737
30-40,300,92,41,53,30,True,28,True,22.414634146341463,7.754256787850897,1.3773584905660377,6.37689829728486,0.8005226480836237,0.28449709487342684
80-100,42,10,72,30,84,True,78,True,29.13888888888889,1.8055555555555571,0.43333333333333335,1.3722222222222238,0.3735754985754986,0.047092469018112544
80-100,42,100,24,48,88,True,83,True,32.083333333333336,0.9583333333333357,0.4791666666666667,0.479166666666669,0.38654618473895586,0.014935064935065008
80-100,42,17,53,41,92,True,80,True,32.83018867924528,2.5375057524160134,0.0975609756097561,2.439944776806257,0.410377358490566,0.07432015699467336
80-100,42,18,60,65,95,True,92,True,28.133333333333333,2.5487179487179468,0.5538461538461539,1.994871794871793,0.30579710144927535,0.07090776522056136
80-100,42,2,30,78,84,True,76,True,29.366666666666667,-0.5435897435897417,0.3333333333333333,-0.8769230769230749,0.3864035087719298,-0.02986117174539415
80-100,42,5,36,42,85,True,78,True,19.36111111111111,-0.8293650793650791,0.35714285714285715,-1.1865079365079363,0.2482193732193732,-0.06128304980528796
80-100,42,67,66,48,80,True,73,True,30.333333333333332,3.1666666666666643,0.4791666666666667,2.687499999999998,0.4155251141552511,0.08859890109890103
80-100,42,90,59,48,83,True,79,True,27.966101694915253,1.0911016949152526,0.8125,0.27860169491525255,0.35400128727740826,0.009962121212121153
80-100,100,10,47,53,84,True,78,True,32.1063829787234,2.2007226013649124,0.5471698113207547,1.6535527900441576,0.411620294599018,0.05150230691323751
80-100,100,100,48,48,88,True,83,True,33.1875,4.020833333333332,0.6666666666666666,3.3541666666666656,0.3998493975903614,0.101067168863779
80-100,100,17,54,30,92,True,80,True,33.24074074074074,-0.02592592592592524,0.43333333333333335,-0.4592592592592586,0.41550925925925924,-0.01381615598885792
80-100,100,18,30,71,95,True,92,True,28.666666666666668,1.5821596244131477,0.7323943661971831,0.8497652582159646,0.3115942028985507,0.029642974123812716
80-100,100,2,54,30,84,True,76,True,32.0,-0.56666666666667,0.36666666666666664,-0.9333333333333367,0.42105263157894735,-0.02916666666666677
80-100,100,5,78,42,85,True,78,True,23.08974358974359,0.13736263736263865,0.3333333333333333,-0.19597069597069466,0.2960223537146614,-0.008487348298564233
80-100,100,67,59,54,80,True,73,True,31.372881355932204,2.2617702448210935,0.5,1.7617702448210935,0.4297654980264686,0.05615583168257402
80-100,100,90,30,72,83,True,79,True,30.166666666666668,3.0833333333333357,0.6111111111111112,2.4722222222222245,0.3818565400843882,0.08195211786372014
80-100,123,10,66,77,84,True,78,True,28.40909090909091,2.629870129870131,0.5974025974025974,2.0324675324675336,0.36421911421911424,0.07154285714285719
80-100,123,100,60,66,88,True,83,True,31.383333333333333,3.034848484848485,0.803030303030303,2.2318181818181824,0.3781124497991968,0.07111475884710088
80-100,123,17,71,59,92,True,80,True,33.070422535211264,0.3585581284316035,0.1864406779661017,0.1721174504655018,0.4133802816901408,0.005204573672508786
80-100,123,18,36,48,95,True,92,True,28.72222222222222,2.8055555555555536,0.75,2.0555555555555536,0.31219806763285024,0.07156673114119916
80-100,123,2,42,42,84,True,76,True,30.738095238095237,0.6904761904761898,0.4523809523809524,0.23809523809523742,0.4044486215538847,0.007745933384972867
80-100,123,5,35,18,85,True,78,True,22.4,1.12222222222222,0.16666666666666666,0.9555555555555534,0.28717948717948716,0.04265873015873006
80-100,123,67,48,36,80,True,73,True,31.395833333333332,2.6180555555555536,0.4166666666666667,2.201388888888887,0.4300799086757991,0.07011723070117225
80-100,123,90,42,54,83,True,79,True,25.547619047619047,0.6587301587301582,0.6296296296296297,0.029100529100528516,0.32338758288125374,0.001139070104587323
80-100,200,10,6,48,84,True,78,True,30.166666666666668,1.7708333333333357,0.6041666666666666,1.1666666666666692,0.38675213675213677,0.03867403314917135
80-100,200,100,72,42,88,True,83,True,35.861111111111114,4.194444444444446,0.6666666666666666,3.52777777777778,0.43206157965194114,0.09837335398915574
80-100,200,17,47,72,92,True,80,True,36.57446808510638,1.5605791962174962,0.2361111111111111,1.324468085106385,0.4571808510638298,0.03621291448516585
80-100,200,18,66,54,95,True,92,True,29.651515151515152,2.595959595959595,0.4074074074074074,2.1885521885521877,0.32229907773386035,0.07380911826491793
80-100,200,2,48,47,84,True,76,True,35.145833333333336,2.656471631205676,0.6382978723404256,2.0181737588652506,0.46244517543859653,0.05742284553973445
80-100,200,5,54,48,85,True,78,True,23.27777777777778,2.4652777777777786,0.22916666666666666,2.236111111111112,0.29843304843304846,0.09606205250596662
80-100,200,67,53,47,80,True,73,True,33.056603773584904,1.9076676033721363,0.7446808510638298,1.1629867523083064,0.45283018867924524,0.03518167686777411
80-100,200,90,54,42,83,True,79,True,28.444444444444443,1.1111111111111107,0.4523809523809524,0.6587301587301584,0.360056258790436,0.023158482142857133
80-100,300,10,60,24,84,True,78,True,30.383333333333333,2.758333333333333,0.7916666666666666,1.9666666666666663,0.38952991452991453,0.06472846955567745
80-100,300,100,29,48,88,True,83,True,34.689655172413794,4.189655172413794,0.7291666666666666,3.460488505747127,0.41794765267968426,0.09975563286944998
80-100,300,17,54,42,92,True,80,True,34.166666666666664,0.5476190476190439,0.42857142857142855,0.11904761904761535,0.4270833333333333,0.003484320557491181
80-100,300,18,24,60,95,True,92,True,28.625,2.291666666666668,0.5166666666666667,1.7750000000000012,0.3111413043478261,0.06200873362445419
80-100,300,2,48,65,84,True,76,True,33.020833333333336,0.5900641025641065,0.15384615384615385,0.4362179487179526,0.43448464912280704,0.013210385828682475
80-100,300,5,59,41,85,True,78,True,22.203389830508474,1.0814386109962797,0.2926829268292683,0.7887556841670114,0.2846588439808779,0.03552411096630051
80-100,300,67,84,72,80,True,73,True,31.88095238095238,3.2003968253968225,0.5138888888888888,2.6865079365079336,0.43672537508153947,0.0842668658202638
80-100,300,90,42,48,83,True,79,True,28.714285714285715,2.8392857142857153,0.5416666666666666,2.297619047619049,0.36347197106690776,0.08001658374792707
