band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility,source,degree,population,n_mech_removal_episodes
80-100,200,100.0,72,42,88,True,83,True,35.861111111111114,4.194444444444446,0.6666666666666666,3.52777777777778,0.4320615796519411,0.0983733539891557,main_study,54.5,,
80-100,200,17.0,47,72,92,True,80,True,36.57446808510638,1.5605791962174962,0.2361111111111111,1.324468085106385,0.4571808510638298,0.0362129144851658,main_study,56.619565217391305,,
80-100,200,18.0,66,54,95,True,92,True,29.651515151515152,2.595959595959595,0.4074074074074074,2.188552188552188,0.3222990777338603,0.0738091182649179,main_study,59.95789473684211,,
80-100,200,2.0,48,47,84,True,76,True,35.145833333333336,2.656471631205676,0.6382978723404256,2.01817375886525,0.4624451754385965,0.0574228455397344,main_study,50.94047619047619,,
80-100,200,5.0,54,48,85,True,78,True,23.27777777777778,2.4652777777777786,0.2291666666666666,2.236111111111112,0.2984330484330484,0.0960620525059666,main_study,59.247058823529414,,
80-100,200,67.0,53,47,80,True,73,True,33.056603773584904,1.9076676033721365,0.7446808510638298,1.1629867523083064,0.4528301886792452,0.0351816768677741,main_study,42.4625,,
80-100,200,90.0,54,42,83,True,79,True,28.444444444444443,1.1111111111111107,0.4523809523809524,0.6587301587301584,0.360056258790436,0.0231584821428571,main_study,50.63855421686747,,
80-100,300,10.0,60,24,84,True,78,True,30.383333333333333,2.758333333333333,0.7916666666666666,1.9666666666666663,0.3895299145299145,0.0647284695556774,main_study,63.07142857142857,,
80-100,300,100.0,29,48,88,True,83,True,34.689655172413794,4.189655172413794,0.7291666666666666,3.460488505747127,0.4179476526796842,0.0997556328694499,main_study,54.5,,
80-100,300,17.0,54,42,92,True,80,True,34.166666666666664,0.5476190476190439,0.4285714285714285,0.1190476190476153,0.4270833333333333,0.0034843205574911,main_study,56.619565217391305,,
80-100,300,18.0,24,60,95,True,92,True,28.625,2.291666666666668,0.5166666666666667,1.7750000000000012,0.3111413043478261,0.0620087336244541,main_study,59.95789473684211,,
80-100,300,2.0,48,65,84,True,76,True,33.020833333333336,0.5900641025641065,0.1538461538461538,0.4362179487179526,0.434484649122807,0.0132103858286824,main_study,50.94047619047619,,
80-100,300,5.0,59,41,85,True,78,True,22.203389830508478,1.0814386109962797,0.2926829268292683,0.7887556841670114,0.2846588439808779,0.0355241109663005,main_study,59.247058823529414,,
80-100,300,67.0,84,72,80,True,73,True,31.88095238095238,3.2003968253968225,0.5138888888888888,2.6865079365079336,0.4367253750815394,0.0842668658202638,main_study,42.4625,,
80-100,300,90.0,42,48,83,True,79,True,28.714285714285715,2.8392857142857157,0.5416666666666666,2.297619047619049,0.3634719710669077,0.080016583747927,main_study,50.63855421686747,,
,42,,200,200,30,,26,True,18.545,5.9300000000000015,4.615,1.3150000000000013,0.7132692307692309,0.07090860070099764,task_y,21.266666666666666,taskY_n30hi,200.0
,100,,200,200,30,,23,True,15.275,3.535,3.1155778894472363,0.4194221105527638,0.6641304347826087,0.02745807597726768,task_y,17.966666666666665,taskY_n30hi,199.0
,123,,200,200,30,,26,True,18.99,6.189999999999998,4.545,1.6449999999999978,0.7303846153846153,0.08662453923117419,task_y,19.9,taskY_n30hi,200.0
,200,,200,200,30,,27,True,19.045,5.745000000000001,4.577889447236181,1.1671105527638197,0.7053703703703704,0.06128173025801101,task_y,19.766666666666666,taskY_n30hi,199.0
,300,,200,200,30,,25,True,17.005,4.989999999999998,4.1708542713567835,0.8191457286432149,0.6801999999999999,0.048170874956966474,task_y,19.533333333333335,taskY_n30hi,199.0
,42,,200,200,90,,87,True,32.125,10.265,7.964824120603015,2.3001758793969858,0.3692528735632184,0.07160080558434197,task_y,20.666666666666668,taskY_n90,199.0
,100,,200,200,90,,86,True,33.335,11.715,7.125,4.59,0.3876162790697675,0.13769311534423279,task_y,19.744444444444444,taskY_n90,200.0
,123,,200,200,90,,73,True,25.9,8.404999999999998,5.897435897435898,2.5075641025641,0.3547945205479452,0.09681714681714672,task_y,18.88888888888889,taskY_n90,195.0
,200,,200,200,90,,77,True,27.26,8.385000000000002,8.00502512562814,0.37997487437186095,0.354025974025974,0.01393891688818272,task_y,27.42222222222222,taskY_n90,199.0
,300,,200,200,90,,70,True,31.255,8.77,7.457894736842105,1.3121052631578944,0.4465,0.041980651516809936,task_y,20.944444444444443,taskY_n90,190.0
,100,,200,200,30,,23,True,15.175,3.8900000000000006,3.31,0.5800000000000005,0.6597826086956522,0.03822075782537071,task_y,9.633333333333333,taskY_n30lo,200.0
,123,,200,200,30,,23,True,13.825,2.764999999999999,2.505,0.2599999999999989,0.601086956521739,0.018806509945750373,task_y,14.1,taskY_n30lo,200.0
,200,,200,200,30,,26,True,18.655,6.025,5.525,0.5,0.7175,0.02680246582685607,task_y,13.633333333333333,taskY_n30lo,200.0
,300,,200,200,30,,27,True,20.29,6.725,4.84,1.8849999999999998,0.7514814814814814,0.09290290783637259,task_y,9.633333333333333,taskY_n30lo,200.0
